time_s,gyro_1,gyro_2,gyro_3,accel_1,accel_2,accel_3,mag_1,mag_2,mag_3
0,-1.38973507080556,-1.22879173214837,-0.647637060606445,0.00932885966169725,-0.0439005160550459,0.993066256928517,30.45,-20.1,20.25
0.02,-1.48259724551091,-2.15488208563025,0.147753445836772,0.00963372435652396,-0.0454248395291794,0.991724852271279,28.65,-19.05,19.2
0.04,-1.24024961884086,-1.40185911370109,-0.309629403178231,0.00743869855377166,-0.0451199748343527,0.993249175745413,30.75,-20.4,19.8
0.06,-1.48752680141349,-1.38214089009078,-0.392898928559639,0.00597534801860347,-0.0455467854071101,0.991602906393349,31.65,-19.8,19.95
0.08,-1.82886523985696,-1.84698468857995,-0.467641654541992,0.0082313467603211,-0.0436566242991845,0.991968744027141,30.15,-19.05,20.7
0.1,-1.87829403012336,-1.05479173191138,-1.11141500917074,0.00859718439411315,-0.0450590018953874,0.992334581660933,30.3,-19.95,19.35
0.12,-1.82140429038278,-2.12703675634271,-0.232621746105504,0.00920691378376657,-0.0492661346839959,0.993371121623344,29.4,-19.35,19.2
0.14,-1.58571822574324,-1.20920673977867,-0.817107198662689,0.00914594084480122,-0.0417664631912589,0.991176095820591,29.7,-20.1,19.5
0.16,-1.66166003289109,-2.36445482711018,0.0991240430140291,0.00835329263825178,-0.042498138458843,0.992029716966106,29.7,-19.8,19.5
0.18,-1.63647932841575,-1.59411179390169,-0.589548239700375,-0.0349374940271407,-0.0483515405995158,0.994102796890928,31.05,-19.5,19.35
0.2,-1.8463185323769,-2.17446707799996,-0.0968591119236548,0.0134750195113405,-0.0410347879236748,0.993127229867482,29.1,-19.95,20.1
0.22,-1.36335528516473,-1.7345375215049,-0.142424196212362,0.00445102454446993,-0.0370715468909276,0.996724633266437,30.3,-19.2,19.35
0.24,-1.13393108883387,-1.11114854668952,-0.522399694432807,0.0129262630606524,-0.0507904581581295,0.986115341886468,30.3,-21.15,20.55
0.26,-0.891983155885651,-1.53362481066464,0.193185298884869,0.00695091504204893,-0.0367666821961009,0.994407661585754,29.85,-19.5,19.8
0.28,-0.500549770972725,-0.973254212657907,0.104053598916608,0.00932885966169725,-0.0289011730695719,0.991054149942661,28.95,-19.05,20.25
0.3,-0.591280245828308,-0.502148545860048,-0.189055130425951,0.00682896916411825,-0.0581681837729358,0.990566366430938,29.85,-19.5,18.6
0.32,-0.646038285719122,-1.16230934308386,0.165872894559766,-0.00756064443170234,-0.0495100264398573,0.991907771088175,29.4,-19.8,19.5
0.34,-1.27995252854271,-0.750225115876341,-0.92782235960981,0.00353643045998981,-0.0699359609932467,0.989773718224388,30.15,-20.1,19.95
0.36,-1.61076569897797,-1.87709494895787,-0.224627871668888,-0.00804842794342508,-0.0603022366367227,0.995688093304026,31.2,-21,19.5
0.38,-1.7930260361328,-1.15578101229395,-1.1070183782306,0.00463394336136595,-0.0625582353784404,0.992883338111621,28.35,-19.95,19.05
0.4,-1.8969464038088,-2.26546401533676,-0.131366003241711,0.012133614854103,-0.0656068823267074,0.995810039181957,29.55,-20.7,20.1
0.42,-2.00926033964324,-1.42943798050742,-0.992439511305783,0.0212185827599388,-0.0646922882422273,0.995261282731269,30.3,-20.4,19.05
0.44,-2.0073951022747,-2.66369219352081,0.216101072269832,0.00817037382135576,-0.0415225714353976,1.00337068361366,29.85,-20.4,18.6
0.46,-1.93251914505174,-1.7683782566199,-0.605802451054826,-0.0145725324127166,-0.0320107929568043,1.01391900205466,29.55,-20.4,19.8
0.48,-1.93491730738272,-0.908104135999492,-1.1707029112423,-0.0184138275675331,-0.0364008445623089,1.00251706246814,30.3,-21.15,19.05
0.5,-1.63421439732538,-1.83752527049663,-0.150817764370808,-0.0362788986843782,-0.0360959798674822,1.00849241048675,30.75,-18.45,19.8
0.52,-1.4668759591189,-1.25623736771409,-0.65536447256184,-0.0358520881116208,-0.0374373845247197,1.00733392464641,31.65,-19.05,18.45
