time_s,gyro_1,gyro_2,gyro_3,accel_1,accel_2,accel_3,mag_1,mag_2,mag_3
0,2.08227105949766,0.795523737683827,1.51670444310713,0.0291450648254332,-0.0362788986843782,0.991419987576453,28.65,-24.45,21
0.02,2.1684716721725,1.96835834877589,0.565699847631139,0.0281085248630224,-0.0385348974260958,0.99093220406473,28.2,-23.7,20.7
0.04,1.86616998722783,0.809513017947904,1.47007350889354,0.0278036601681957,-0.0377422492195464,0.993371121623344,26.85,-23.4,21.15
0.06,0.780335376254259,1.0679816247318,0.073943338538691,0.0287182542526758,-0.0381080868533384,0.991115122881626,29.55,-24.6,19.35
0.08,-0.180661562267505,-0.575958653158129,0.468441041985654,0.0288402001306065,-0.0384129515481651,0.993005283989552,29.4,-22.5,21.75
0.1,-1.15018530018832,-0.56596631011236,-0.720248086739034,0.0264012825719929,-0.039998247961264,0.989956637041284,28.05,-24.3,19.8
0.12,-2.00592955862799,-2.06694946682748,-0.310162328140672,0.0282304707409531,-0.0378032221585117,0.991602906393349,27.45,-22.95,20.7
0.14,-2.25280704747879,-0.968857581717768,-1.59517764382657,0.0281085248630224,-0.0382300327312691,0.990749285247834,28.65,-23.7,21.45
0.16,-1.39573047663302,-1.73213935917391,-0.139493108918936,0.0264012825719929,-0.0392665726936799,0.992944311050586,28.2,-23.7,19.2
0.18,0.095926493239383,-0.0619525268837682,0.135229709219408,0.0269500390226809,-0.0401201938391947,0.992334581660933,28.65,-23.7,21.45
0.2,1.14925268150405,0.438597244088957,0.626852987071246,0.0281694978019878,-0.0382910056702345,0.99367598631817,28.65,-24.45,20.25
0.22,2.28718070755623,0.412883614651178,2.1191761131467,0.0266451743278542,-0.0386568433040265,0.99093220406473,28.2,-23.25,20.7
0.24,1.86750229963393,1.47673507092406,0.971788669011194,0.0280475519240571,-0.039815329144368,0.989042042956804,27.15,-22.5,22.5
0.26,-0.0247810107535073,-0.683476264330604,0.701862175534819,0.0269500390226809,-0.0399372750222987,0.991968744027141,28.2,-22.95,20.7
0.28,-1.47713476464589,-1.64007657191223,0.057156202221799,0.0281085248630224,-0.0389007350598879,0.990993177003695,28.2,-24.45,21.75
0.3,-2.33820827270996,-1.08436906732686,-1.62635375412937,0.027132957839577,-0.0379861409754077,0.992639446355759,28.05,-23.85,21.15
0.32,-1.36788514734548,-1.82913170233818,-0.138427258994054,0.0280475519240571,-0.039998247961264,0.993249175745413,28.95,-24.45,22.5
0.34,0.580088821617047,0.0828698316595781,0.431269525855393,0.0270719849006116,-0.0382910056702345,0.992334581660933,28.95,-24.45,22.5
0.36,2.34846707823695,1.55973813382425,1.02761255882689,0.0275597684123344,-0.0385958703650612,0.992639446355759,28.2,-23.7,22.5
0.38,1.83312863955649,0.221830015616073,1.90520674072663,0.0282914436799185,-0.0376203033416157,0.991480960515418,29.1,-25.35,20.55
0.4,-0.572761103383483,-0.732238898393957,0.400226646793203,0.0262183637550968,-0.0389007350598879,0.992578473416794,27.9,-25.2,21
0.42,-0.572761103383483,-0.732238898393957,0.400226646793203,0.0268280931447503,-0.0389617079988532,0.990993177003695,27.9,-24,21.75
0.44,-2.19285298920417,-1.04959571352758,-1.31952220700396,0.0281085248630224,-0.0385958703650612,0.989468853529562,26.85,-24.6,19.35
0.46,-1.23278866936668,-1.47566922099917,-0.299237366410631,0.0287792271916412,-0.0388397621209225,0.992029716966106,29.1,-23.4,21.9
0.48,0.761283308846992,-0.577957121767283,1.59784226863878,0.0292060377643986,-0.037132519829893,0.992090689905071,28.95,-23.7,20.25
0.5,1.59770903739817,0.946075039573415,1.0290781024736,0.0295718753981906,-0.0375593304026504,0.992822365172656,26.55,-24.3,20.55
0.52,2.40362481184959,0.296173047876595,2.263332315487,0.0282304707409531,-0.0363398716233435,0.991602906393349,28.65,-23.7,19.95
0.54,1.54041960393576,0.891716693404431,1.1914869847775,0.0275597684123344,-0.0394494915105759,0.992212635783002,28.35,-24.3,20.85
0.56,-0.983379786944286,-0.213836141179458,-0.64990199169682,0.0251208508537207,-0.037498357463685,0.990505393491972,29.4,-22.05,19.5
0.58,-2.32062174894941,-2.06401837953406,-0.689738132639286,0.0269500390226809,-0.0387178162429918,0.991359014637487,27.6,-22.35,20.55
0.6,-1.66339203901902,-2.47916692527561,0.353462481339004,0.0268890660837156,-0.0400592209002294,0.991176095820591,27.15,-22.95,19.2
0.62,-0.88052526919317,-1.17110260496413,-0.137761102791003,0.0281694978019878,-0.0368886280740316,0.991907771088175,28.2,-23.7,21.45
0.64,0.389434916303773,-0.892915774569923,1.13966003218011,0.0304254965437054,-0.0387178162429918,0.989773718224388,27.45,-24.9,19.95
0.66,1.84618530113629,0.956467076341014,1.01615467213441,0.027132957839577,-0.0370105739519623,0.991298041698522,28.8,-23.4,19.8
0.68,2.43600000331789,0.693868301098204,1.84578560741446,0.0277426872292304,-0.0385958703650612,0.992334581660933,27.45,-23.7,20.7
0.7,1.22239663259908,0.584352221316575,1.07810719901818,0.0254257155485474,-0.0397543562054027,0.990627339369903,28.05,-23.4,19.8
0.72,-0.554108729698047,-0.208640122795658,-0.312560490471656,0.0252427967316514,-0.042132300825051,0.993371121623344,28.8,-23.4,21.15
0.74,-2.01445635802704,-2.02005207013267,-0.385970904047906,0.0307913341774975,-0.0356691692947248,0.991968744027141,26.55,-24.6,20.1
0.76,-2.1542159294272,-1.61969219209886,-0.816041348737807,0.0295109024592253,-0.0381080868533384,0.990505393491972,28.35,-24.6,20.1
0.78,-0.91756355408282,-1.08450229856747,-0.087000000118496,0.0284743624968145,-0.0372544657078236,0.993005283989552,28.8,-23.4,20.55
0.8,1.64140888431833,-0.0866003063966652,1.847650844783,0.0254866884875127,-0.0373764115857543,0.991419987576453,28.2,-24.45,20.7
0.82,2.27958652684145,1.35163093599103,1.27635528504623,0.0237184732575178,-0.0378641950974771,0.989895664102319,28.65,-23.25,20.25
0.84,1.64447320285237,0.874796325846929,0.904906586224846,0.0260354449382008,-0.0389007350598879,0.990322474675076,26.7,-25.2,21
0.86,0.605136294851774,0.0135895865422459,0.851614089980745,0.0260354449382008,-0.0395104644495413,0.991663879332314,28.65,-24,20.7
0.88,-1.36548698501449,-0.556640123269642,-0.834693722423242,0.0284133895578491,-0.0382300327312691,0.990688312308869,29.1,-22.65,20.85
0.9,-2.24614548544827,-2.18978867067014,-0.528661562741488,0.027132957839577,-0.0372544657078236,0.990749285247834,28.8,-23.4,20.55
0.92,-1.91426646508813,-1.47167228378087,-0.23595252712076,0.0214624745158002,-0.0416445173133282,0.995749066242992,29.7,-23.25,20.7
0.94,0.418079633034978,0.405156202695783,0.517869832252058,0.0269500390226809,-0.0393275456326453,0.99629782269368,29.1,-23.4,20.55
0.96,2.48183155008781,0.979649312207199,1.59544410630779,0.0264622555109582,-0.0392665726936799,0.990627339369903,28.35,-24.3,19.05
0.98,2.04136906863031,0.957399695025286,1.39186677065533,0.0254257155485474,-0.0422542467029817,0.992395554599898,27.45,-24.45,21.45
1,0.742897397642777,0.463245023601854,0.0382373660551429,0.0251208508537207,-0.0385348974260958,0.988676205323012,27.9,-22.5,19.95
1.02,-0.598474732821262,-1.2434471686155,0.16787136316892,0.0262793366940622,-0.0385958703650612,0.989651772346458,28.65,-23.7,21.45
